year,genre,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1999,Dance/Electronic,56.0,228140.0,0.808,0.982,-6.588,0.0311,0.0585,0.00689,0.35,0.961,124.999
2000,Dance/Electronic,50.0,452906.0,0.61,0.82,-10.029,0.0312,0.000211,0.146,0.138,0.45,127.993
2001,Dance/Electronic,59.4,254926.4,0.6754,0.7846,-7.1202,0.08586,0.055090799999999995,0.05500000000000001,0.1558,0.7864,130.13600000000002
2002,Dance/Electronic,48.0,432146.0,0.786,0.853,-8.274,0.0688,0.0499,0.0872,0.35,0.309,126.99
2003,Dance/Electronic,57.0,212413.0,0.883,0.887,-4.92,0.116,0.0111,0.63,0.0367,0.648,124.814
2004,Dance/Electronic,62.0,189306.0,0.708,0.875,-5.0035,0.0458,0.001575,0.0166625,0.1045,0.663,126.29149999999998
2005,Dance/Electronic,63.0,393813.0,0.745,0.714,-3.681,0.0751,0.0141,0.0222,0.363,0.365,104.003
2006,Dance/Electronic,53.0,274759.5,0.6655,0.8275,-7.567,0.051449999999999996,0.03702,0.009427999999999999,0.3325,0.6285000000000001,123.8725
2007,Dance/Electronic,73.0,223111.0,0.627,0.954,-4.804,0.0425,0.0015,0.000814,0.292,0.312,128.016
2008,Dance/Electronic,56.0,260411.0,0.5445,0.933,-4.444,0.058300000000000005,0.004381,0.0849,0.17149999999999999,0.5760000000000001,156.801
2009,Dance/Electronic,47.0,320348.0,0.804,0.976,-2.458,0.0445,0.00023,0.894,0.125,0.237,125.997
2010,Dance/Electronic,36.333333333333336,187608.0,0.7966666666666667,0.755,-4.273666666666666,0.09846666666666666,0.12437966666666667,0.09273434333333334,0.15643333333333334,0.6859999999999999,133.32266666666666
2011,Dance/Electronic,49.333333333333336,228341.66666666666,0.6773333333333333,0.802,-4.460666666666667,0.050166666666666665,0.11404833333333335,0.00109,0.16749999999999998,0.516,123.00099999999999
2013,Dance/Electronic,57.5,208721.5,0.603,0.7355,-4.775,0.03995,0.06155,0.00091,0.2635,0.268,131.4065
2014,Dance/Electronic,32.333333333333336,200595.33333333334,0.7393333333333333,0.6976666666666667,-6.427333333333333,0.05963333333333334,0.004326666666666667,0.041799333333333334,0.225,0.5003333333333333,115.01633333333332
2015,Dance/Electronic,58.0,225609.5,0.683,0.5995,-7.601,0.048,0.36606,0.40450493000000004,0.189,0.256,118.41499999999999
2016,Dance/Electronic,45.4,233026.2,0.6384000000000001,0.6782,-6.3104,0.049,0.10707599999999999,0.13332065399999998,0.07972,0.4864,108.4206
2017,Dance/Electronic,59.0,178613.0,0.716,0.757,-5.438,0.0329,0.0258,0.00392,0.16,0.877,139.986
2018,Dance/Electronic,44.666666666666664,211397.33333333334,0.6050000000000001,0.7253333333333334,-5.289000000000001,0.054933333333333334,0.023213333333333332,0.024869323333333332,0.21083333333333334,0.296,140.55633333333333
2019,Dance/Electronic,84.0,202093.0,0.658,0.671,-12.21,0.0363,0.0933,0.000927,0.115,0.166,100.966
2000,Folk/Acoustic,0.0,278666.0,0.408,0.849,-5.631,0.0333,0.0136,2.51e-05,0.56,0.628,84.192
2002,Folk/Acoustic,75.0,237493.0,0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931
2009,Folk/Acoustic,68.0,245173.0,0.517,0.492,-8.05,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585
2014,Folk/Acoustic,81.0,241688.0,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945
2000,R&B,60.333333333333336,213102.0,0.8290000000000001,0.7873333333333333,-4.315666666666666,0.11569999999999998,0.04239999999999999,1.52e-06,0.09893333333333333,0.8370000000000001,108.895
2004,R&B,46.0,229080.0,0.706,0.665,-5.348,0.0453,0.0128,0.0,0.338,0.639,89.993
2006,R&B,70.0,237728.33333333334,0.505,0.5953333333333334,-10.393333333333333,0.041133333333333334,0.0671,0.001434003333333333,0.16540000000000002,0.6296666666666667,99.30866666666667
2008,R&B,67.0,243433.0,0.6990000000000001,0.715,-4.0125,0.1774,0.11585000000000001,1.35e-06,0.1165,0.5485,124.9545
2010,R&B,1.0,243053.0,0.84,0.482,-7.116,0.0333,0.202,0.0,0.0873,0.957,95.498
2015,R&B,71.0,210580.0,0.513,0.768,-4.868,0.0587,0.0118,1.94e-05,0.294,0.235,84.264
2017,R&B,71.5,219906.0,0.583,0.726,-5.915,0.306,0.329,0.0,0.156,0.4525,122.874
2000,World/Traditional,69.0,218546.0,0.418,0.249,-13.744,0.0301,0.841,0.661,0.112,0.213,82.803
2003,World/Traditional,61.0,244666.0,0.778,0.879,-4.951,0.0371,0.399,0.792,0.15,0.942,98.077
2004,World/Traditional,60.0,249300.0,0.473,0.708,-4.813000000000001,0.043,0.001444,0.23704,0.126,0.489,118.0415
2005,World/Traditional,67.5,187039.5,0.6675,0.7765,-6.750500000000001,0.05450000000000001,0.2765,0.0,0.226,0.7905,102.6065
2006,World/Traditional,48.0,212486.5,0.5835,0.6930000000000001,-5.6845,0.20149999999999998,0.27202740000000003,0.0283,0.391,0.61,120.0575
2010,World/Traditional,0.0,189693.0,0.55,0.753,-4.003,0.0407,0.000665,7.74e-06,0.0921,0.841,139.048
2020,World/Traditional,57.0,240081.0,0.836,0.621,-4.684,0.0894,0.389,9.16e-05,0.104,0.762,101.993
2005,country,67.0,227840.0,0.68,0.87,-4.461,0.0393,0.266,0.0,0.109,0.646,119.075
2006,country,34.5,245439.5,0.549,0.805,-5.2715,0.0445,0.005325,0.0,0.1835,0.46199999999999997,119.52850000000001
2009,country,50.0,204200.0,0.616,0.596,-5.035,0.0289,0.654,0.0,0.218,0.58,137.077
2010,country,60.333333333333336,224986.33333333334,0.63,0.5776666666666667,-6.096666666666667,0.0302,0.33866666666666667,7.866666666666666e-07,0.222,0.4606666666666667,129.505
2011,country,50.0,210720.0,0.481,0.849,-5.131,0.0385,0.00167,1.49e-06,0.121,0.723,205.57
2012,country,28.5,187913.0,0.5665,0.9415,-3.957,0.0523,0.18805,0.0,0.4533,0.864,122.0275
2013,country,56.0,215720.0,0.576,0.726,-4.625,0.035,0.255,0.0,0.108,0.582,136.802
2017,easy listening,72.0,302146.0,0.417,0.824,-7.36,0.105,0.000239,0.0545,0.0725,0.4,157.92
1998,hip hop,49.0,215466.0,0.727,0.445,-11.241,0.291,0.339,0.0,0.18,0.527,81.125
1999,hip hop,69.85714285714286,248565.14285714287,0.7858571428571429,0.7451428571428572,-5.4159999999999995,0.15055714285714286,0.1420857142857143,0.0009803571428571428,0.15695714285714285,0.608,129.87942857142858
2000,hip hop,56.904761904761905,264380.4285714286,0.7675238095238095,0.7144761904761905,-6.0550476190476195,0.13517619047619048,0.14540904761904763,0.0009270395238095237,0.16358095238095238,0.7044285714285714,111.50704761904763
2001,hip hop,60.40625,254714.96875,0.76425,0.6868124999999999,-6.0309375,0.18856562500000001,0.1156446875,0.0035196309375,0.165359375,0.6953125,116.55665625
2002,hip hop,60.30434782608695,262642.2826086957,0.7309565217391305,0.6882608695652174,-5.497608695652175,0.16565652173913042,0.14786108695652175,0.00027594739130434783,0.17728695652173915,0.6249130434782608,110.61593478260869
2003,hip hop,62.21212121212121,248917.30303030304,0.7458484848484849,0.7192424242424242,-4.9486060606060605,0.20733939393939393,0.21963636363636363,3.333545454545455e-05,0.14469393939393937,0.7096060606060607,112.80442424242425
2004,hip hop,61.25581395348837,246486.48837209304,0.7348372093023255,0.7005348837209303,-5.1453255813953485,0.19247674418604652,0.1325020930232558,9.386674418604651e-05,0.16745581395348835,0.6119441860465117,111.7544418604651
